symbol,side,entry_time_utc,exit_time_utc,opened_at_ts,closed_at_ts,duration_sec,stake_usdt,pnl_usdt,result,exit_reason,closed_by,contract_id,max_hold_seconds,spread_at_entry,ema200_distance_at_entry_pct,score_raw,effective_min_score,score_margin,trend,momentum,stability,atr_score,atr_pct,hurst,regime,setup_type,fvg_tier,geo_channel_pos,geo_slope_pct,dynamic_score_min,dynamic_score_ceiling,dynamic_cfg_regime,execution_grade,ema200_dev_pct,ema_state,ema_trade_alignment,ctx_regime,ctx_atr,ctx_atr_percentile,ctx_hurst,ctx_ema200_distance_pct,ctx_ticks_since_last_spike,ctx_spike_cluster_active,ctx_delta_s,ai_approved,ai_confidence,ai_score,ai_hurst,ai_autocorr,ai_vol_regime,ai_model,ai_delta_s,spikes_during_trade,favorable_spikes_during,adverse_spikes_during,first_favorable_spike_delay_s,first_adverse_spike_delay_s,spike_cluster_seen_during,last_spike_before_open_delay_s,last_spike_before_open_dir
BOOM600,MULTUP,2026-05-27T05:12:49.766179+00:00,2026-05-27T05:23:48.362406+00:00,1779858769.7661788,1779859428.3624055,658.596,1.5,-0.36,loss,open_prob_exit:prob=0.218<=0.220|pnl=-0.3600<=0.0200|atr_ratio=0.502|cycle=1.10,ws_event,869878099,0.0,1e-05,0.0279,10.0,5.8,4.2,1.5,1.5,0.75,1.33,2e-06,0.494,trending,SMC_FVG,fvg_mitigated,-0.101,0.00058,5.3,5.3,NORMAL,A,0.0279,above_ema200,True,normal,0.009821,28.0,0.4936,0.00019,184.0,False,7.567178964614868,,,,,,,,,0,0,0,,,False,1.574366807937622,UP
BOOM600,MULTUP,2026-05-27T05:29:25.688209+00:00,2026-05-27T05:39:09.363504+00:00,1779859765.688209,1779860349.3635044,583.675,1.5,-0.32,loss,open_prob_exit:prob=0.214<=0.220|pnl=-0.3200<=0.0200|atr_ratio=0.562|cycle=1.27,ws_event,870414259,0.0,1e-05,-0.0013,9.55,6.0,3.5500000000000007,1.5,1.5,0.75,1.0,1e-06,0.496,calm,SMC_FVG,fvg_mitigated,-0.093,5e-05,5.3,5.3,NORMAL,A,-0.0013,below_ema200,False,normal,0.010634,87.0,0.4957,5e-05,138.0,False,43.12220907211304,,,,,,,,,0,0,0,,,False,181.44291186332703,UP
BOOM600,MULTUP,2026-05-27T05:40:35.397982+00:00,2026-05-27T06:01:08.305914+00:00,1779860435.3979824,1779861668.3059137,1232.908,1.5,-0.42,loss,open_prob_exit:prob=0.219<=0.220|pnl=-0.4200<=0.0200|atr_ratio=0.062|cycle=0.78,ws_event,870769759,0.0,1e-05,-0.0143,6.69,5.8,0.8900000000000006,1.5,1.5,0.75,1.74,2e-06,0.499,trending,TREND,dynamic_soft_veto_no_fvg,0.229,-0.00017,5.3,5.3,NORMAL,B,-0.0143,below_ema200,False,normal,0.010193,80.0,0.4992,-0.00014,798.0,False,52.78698229789734,,,,,,,,,1,1,0,764.8228859901428,,False,851.1526851654053,UP
BOOM600,MULTUP,2026-05-27T06:02:46.039239+00:00,2026-05-27T06:04:08.352069+00:00,1779861766.0392394,1779861848.3520694,82.313,1.5,0.33,win,timeout_multispike,ws_event,871567599,0.0,1e-05,-0.0156,5.914,5.8,0.11399999999999988,1.5,0.56,0.75,1.9,2e-06,0.493,trending,TREND,dynamic_soft_veto_no_fvg,-0.518,-0.00018,5.3,5.3,NORMAL,C,-0.0156,below_ema200,False,normal,0.010841,42.0,0.4932,-0.00016,562.0,False,3.619239330291748,,,,,,,,,1,1,0,35.13442850112915,,False,565.8183710575104,UP
BOOM600,MULTUP,2026-05-27T06:06:22.501575+00:00,2026-05-27T06:08:09.331382+00:00,1779861982.501575,1779862089.331382,106.83,1.5,0.46,win,timeout_multispike,ws_event,871689079,0.0,1e-05,0.007,9.685,5.8,3.8850000000000007,1.5,1.39,0.75,1.24,2e-06,0.486,trending,SMC_FVG,fvg_mitigated,-0.075,0.00019,5.3,5.3,NORMAL,A,0.007,above_ema200,True,normal,0.00629,6.0,0.4854,0.00019,141.0,False,40.30357503890991,,,,,,,,,1,1,0,59.68113350868225,,True,181.3279070854187,UP
BOOM600,MULTUP,2026-05-27T06:10:23.409264+00:00,2026-05-27T06:11:53.268206+00:00,1779862223.4092643,1779862313.2682064,89.859,1.5,0.3,win,timeout_multispike,ws_event,871819079,0.0,1e-05,0.0129,8.685,5.8,2.8850000000000007,1.5,1.1,0.75,0.53,2e-06,0.47,trending,SMC_FVG,fvg_mitigated,-0.494,0.00055,5.3,5.3,NORMAL,A,0.0129,above_ema200,True,normal,0.011186,95.0,0.4692,0.00027,147.0,True,33.84326434135437,,,,,,,,,1,1,0,42.85265326499939,,True,181.22655582427979,UP
BOOM600,MULTUP,2026-05-27T06:16:02.598901+00:00,2026-05-27T06:26:51.335386+00:00,1779862562.5989008,1779863211.3353863,648.736,1.5,0.15,win,ratchet_hit,ws_event,872011019,0.0,1e-05,0.0199,10.0,6.0,4.0,1.5,1.5,0.75,1.0,1e-06,0.458,calm,SMC_FVG,fvg_mitigated,-0.435,0.00077,5.3,5.3,NORMAL,A,0.0199,above_ema200,True,normal,0.00909,78.0,0.4574,0.00026,168.0,True,12.995900869369507,,,,,,,,,2,2,0,67.57771277427673,,True,181.42932891845703,UP
BOOM600,MULTUP,2026-05-27T06:32:16.999296+00:00,2026-05-27T06:42:29.300166+00:00,1779863536.9992962,1779864149.3001661,612.301,1.5,-0.33,loss,open_prob_exit:prob=0.204<=0.220|pnl=-0.3300<=0.0200|atr_ratio=0.569|cycle=1.32,ws_event,872597539,0.0,1e-05,0.0208,10.0,5.8,4.2,1.5,0.64,0.75,1.69,2e-06,0.466,trending,SMC_FVG,fvg_mitigated,-0.583,0.00087,5.3,5.3,NORMAL,A,0.0208,above_ema200,True,normal,0.010462,71.0,0.4647,0.00035,154.0,True,27.826296091079712,,,,,,,,,0,0,0,,,False,181.81350207328796,UP
BOOM600,MULTUP,2026-05-27T06:46:27.543988+00:00,2026-05-27T06:46:43.835549+00:00,1779864387.543988,1779864403.8355489,16.292,1.5,0.15,win,ratchet_hit,reaper_poll,873132199,0.0,1e-05,-0.0135,6.637,5.8,0.8369999999999997,1.5,1.31,0.75,1.88,2e-06,0.504,trending,TREND,dynamic_soft_veto_no_fvg,0.235,-0.00016,5.3,5.3,NORMAL,B,-0.0135,below_ema200,False,normal,0.008345,35.0,0.5039,-0.00013,994.0,True,37.74598789215088,True,0.78,6.637,0.5039226967598528,-0.002138297714064814,compressing,google/gemini-2.5-flash,0.27089595794677734,1,1,0,6.641815423965454,,False,1032.3581938743591,UP
BOOM600,MULTUP,2026-05-27T06:49:35.480605+00:00,2026-05-27T07:02:35.502850+00:00,1779864575.4806046,1779865355.50285,780.022,1.5,-0.43,loss,open_prob_exit:prob=0.217<=0.220|pnl=-0.4300<=0.0200|atr_ratio=0.621|cycle=1.60,ws_event,873252319,0.0,1e-05,-0.0044,8.337,5.8,2.537,1.5,1.04,0.75,1.25,2e-06,0.499,trending,SMC_FVG,fvg_mitigated,-0.142,2e-05,5.3,5.3,NORMAL,A,-0.0044,below_ema200,False,normal,0.011076,91.0,0.4985,2e-05,135.0,False,45.88660454750061,True,0.9,9.305,0.4987283129023428,-0.0034030470016218413,compressing,google/gemini-2.5-flash,0.22030067443847656,0,0,0,,,False,181.29480123519897,UP
